Params,item,desc,UOS,Pack_Description,Hierarchy1,Hierarchy2,Hierarchy3,UOP,sSell1,sSell2,sSell3,sSell4,sSell5,pack1,pack2,pack3,pack4,pack5,EAN
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15719,ZIG ZAG ROLLING MACHINE,1,,19 ECIG/VAPE,,,1,9.99,0,0,0,0,1,0,0,0,0,3.05707E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15802,GEEK BAR GRAPE,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15803,GEEK BAR WATERMELON ICE,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15804,GEEK BAR GEEN MANGO,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15805,GEEK BAR SOUR APPLE,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15806,GEEK BAR BLUE SOUR RASP,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15807,GEEK BAR LYCHEE ICE,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15808,GEEK BAR PEACH ICE,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15809,GEEK BAR STRAW ICE CREAM,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15824,ELF APPLE PEACH,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15825,ELF MANGO MILK ICE 2%,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15826,ELF ELFTURBO ICE,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15827,GEEK BAR PASSION FRUIT 2%,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15828,GEEK BAR TOBACCO 2%,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15829,GEEK BAR GEEK BERG 2%,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15830,ELF PEACH ICE 2%,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15831,GEEK BAR MANGO ICE 2%,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15832,GEEK BAR BLACK MENTHOL 2%,10,,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15872,ELF STRAW BANANA 2%,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15909,GEEK BAR MENTHOL,10,,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97287E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15917,NORDIC SPIRIT MINT PMP,5,,19 ECIG/VAPE,,,1,21.99,0,0,0,0,1,0,0,0,0,5.00014E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15929,ELF LEMON TART,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15933,ELF CR500 GRAPE ENERGY 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15934,ELF CR500 BLUEBERRY CHEESECAKE 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15935,ELF CR500 BERRY PEACH 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15936,ELF CR500 MAN/PCH/WMELON 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15937,ELF CR500 MAN/PCH/ORANGE 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15938,ELF CR500 STRAW ENERGY 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15939,ELF CR500 SOUR APPLE 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15940,ELF CR500 STRAW KIWI 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15941,ELF CR500 WATERMELON LEMON 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15942,ELF CR500 BLUE RAZZ LEMONADE,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15943,ELF CR500 KIWI/PASS/GUAVA 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15967,GEEK BAR KIWI PASSION FRUIT,10,10,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15968,GEEK BAR BLUEBERRY COTTON CANDY 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15969,GEEK BAR GUAVA ICE 2%,10,10,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15970,GEEK BAR ENERGY ICE,10,10,19 ECIG/VAPE,,,1,17.49,0,0,0,0,1,0,0,0,0,6.97423E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15971,ELF P&B CLOUDD 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15973,ELF BLUE SOUR RASP 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",15974,ELF STRAW KIWI,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16009,ELF BAR LUX 600 COLA,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16010,ELF BAR LUX 600 BLUEBERRY,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16011,ELF BAR LUX 600 WATERMELON,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16012,ELF BAR LUX 600 PINK LEMONADE,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16013,ELF LUX BLUE SOUR RASP,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16014,ELF BAR LUX 600 APPLE PEACH,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16015,ELF BAR LUX 600 BLUE RAZZ LEMONADE,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16033,HEETS MAUVE 20'S,1,,19 ECIG/VAPE,,,1,55.99,0,0,0,0,1,0,0,0,0,5.06059E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16034,ELF STRAW ENERGY 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16041,ELF BERG 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.97521E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16086,HEETS TEAK 20'S,1,,19 ECIG/VAPE,,,1,55.99,0,0,0,0,1,0,0,0,0,
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16087,HEETS RUSSET 20'S,1,,19 ECIG/VAPE,,,1,55.99,0,0,0,0,1,0,0,0,0,5.06059E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16243,NORDIC SPIRIT SPEARMINT XSTRONG,5,,19 ECIG/VAPE,,,1,21.99,0,0,0,0,1,0,0,0,0,5.00014E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16319,ELF T600 BLUE RAZZ LEMONADE,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16320,ELF T600 JUICY PEACH 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16321,ELF T600 MAN/PCH/WMELON 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16322,ELF T600 PINE/PCH/MAN 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16323,ELF T600 STRAW CHEESECAKE 2%,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16324,ELF T600 WMELON LEMON,10,10,19 ECIG/VAPE,,,1,27.99,0,0,0,0,1,0,0,0,0,6.93929E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16393,NORDIC SPEARMNIT STRONG,5,,19 ECIG/VAPE,,,1,21.99,0,0,0,0,1,0,0,0,0,5.00014E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16471,LOST MARY BM600 MARYBULL ICE 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.93764E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16472,LOST MARY BM600 WATERMELON ICE 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.93764E+12
"Branch: 1, Display Cost: Y,From Hierarchy1: 19,To Hierarchy1: 19,From Hierarchy2: ,To Hierarchy2: ZZZZZZZZZZ,From Hierarchy3: ,To Hierarchy3: ZZZZZZZZZZ",16473,LOST MARY BM600 TRIPLE MELON 2%,10,10,19 ECIG/VAPE,,,1,19.99,0,0,0,0,1,0,0,0,0,6.93764E+12
